State,Largest Export,Beef and veal,Broiler meat,Corn,Cotton,Dairy products,Feeds and other feed grains,"Fruits, fresh","Fruits, processed",Grain products,Hides and skins,Other livestock products,Other oilseeds and products,Other plant products,Other poultry products,Pork,Rice,Soybean meal,Soybeans,Tobacco,Tree nuts,Vegetable oils,"Vegetables, fresh","Vegetables, processed",Wheat,Total agricultural exports,Total animal products,Total plant products
Alabama,Broiler meat,64.62,416.02,75.42,233.39,1.34,48.72,0.00,0.00,16.52,5.29,104.62,111.04,248.20,83.65,2.56,0.00,17.16,83.75,0.00,0.00,22.65,0.00,0.00,34.87,1569.82,678.10,891.72
Alaska,Other plant products,0.42,0.00,0.00,0.00,0.06,0.96,0.00,0.00,0.28,0.04,2.48,0.00,18.26,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.62,3.13,19.49
Arizona,"Vegetables, processed",108.88,0.00,7.07,127.86,154.16,44.10,49.84,43.69,14.59,9.24,28.43,0.00,260.59,6.18,12.59,0.00,0.00,0.00,0.00,103.22,0.00,156.77,316.20,26.07,1469.46,319.47,1150.00
Arkansas,Soybeans,75.66,473.29,170.85,462.16,1.98,100.84,0.00,0.00,85.82,6.92,63.55,30.19,80.30,203.48,21.33,789.88,186.74,911.42,0.00,0.00,123.33,0.00,0.00,36.43,3824.18,846.21,2977.97
California,Tree nuts,449.78,118.71,14.49,350.91,1380.00,143.76,2829.95,2480.88,85.51,36.30,418.85,21.60,3786.80,94.61,5.46,595.41,0.00,0.00,0.00,8031.78,2.26,1143.90,2307.28,43.87,24342.13,2503.71,21838.41
Colorado,Beef and veal,609.40,0.00,168.31,0.00,178.89,186.77,5.14,4.50,71.04,50.76,143.99,8.13,342.37,22.82,46.96,0.00,0.00,0.00,0.00,0.00,0.85,41.59,83.88,248.83,2214.24,1052.82,1161.42
Connecticut,Other plant products,2.09,0.00,0.00,0.00,15.05,0.79,0.00,0.00,0.23,0.18,23.95,0.00,254.30,6.63,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,303.56,48.25,255.31
Delaware,Broiler meat,0.68,108.59,41.19,0.00,1.66,22.48,0.00,0.00,7.35,0.14,2.12,0.06,58.68,3.80,2.14,0.00,10.13,49.44,0.00,0.00,6.53,0.00,0.00,11.96,326.93,119.13,207.80
Florida,Other plant products,78.87,25.12,15.26,38.61,85.62,15.50,308.50,270.45,4.51,6.34,153.22,86.93,2012.92,23.25,0.45,0.00,0.00,0.00,0.00,0.00,9.09,179.76,362.57,0.00,3676.99,372.88,3304.10
Georgia,Cotton,57.91,502.40,104.91,763.30,66.88,66.88,53.61,47.00,20.93,5.10,82.95,505.43,308.06,116.89,11.36,0.00,7.43,36.25,29.45,202.92,57.62,72.58,146.39,19.42,3285.66,843.49,2442.17
Hawaii,Other plant products,6.59,0.00,0.00,0.00,0.21,0.00,2.02,1.78,0.00,0.54,62.72,0.00,229.00,1.90,0.40,0.00,0.00,0.00,0.00,69.74,0.00,0.00,0.00,0.00,374.91,72.37,302.54
Idaho,Other plant products,240.85,0.00,33.27,0.00,558.11,128.34,0.00,0.00,62.76,19.56,80.54,6.30,596.66,13.28,5.96,0.00,0.00,0.00,0.00,0.00,0.66,176.41,355.82,379.17,2657.69,918.30,1739.39
Illinois,Soybeans,98.30,0.35,2736.96,0.00,58.48,1465.84,0.00,0.00,438.65,30.00,32.06,0.00,335.19,24.66,552.84,0.00,800.95,3909.28,0.00,0.00,515.46,7.93,15.99,174.09,11197.03,796.69,10400.34
Indiana,Soybeans,58.08,18.49,1323.40,0.00,151.79,717.42,5.88,5.16,214.36,22.81,182.70,0.00,236.29,230.45,453.65,0.00,456.56,2228.39,0.00,0.00,293.83,4.22,8.51,81.65,6693.65,1117.97,5575.68
Iowa,Soybeans,591.57,9.06,3081.70,0.00,189.10,1655.73,0.00,0.00,482.11,156.38,73.14,0.00,129.31,227.43,2723.01,0.00,759.07,3704.87,0.00,0.00,488.51,0.00,0.00,0.00,14271.00,3969.69,10301.31
Kansas,Beef and veal,1423.18,0.00,966.05,93.47,126.53,734.72,0.00,0.00,303.52,123.53,38.07,9.70,126.34,12.65,234.38,0.00,242.30,1182.64,0.00,0.00,156.95,0.00,0.00,1334.17,7108.20,1958.35,5149.85
Kentucky,Other livestock products,126.87,122.57,319.52,0.00,31.69,215.83,0.00,0.00,69.98,12.15,786.27,0.45,116.42,30.47,49.29,0.00,132.03,644.43,224.56,0.00,85.02,0.00,0.00,106.58,3074.15,1159.32,1914.83
Louisiana,Other plant products,29.44,64.45,110.67,95.32,4.19,63.02,0.00,0.00,34.72,2.38,198.34,0.00,538.18,10.55,0.52,239.43,77.16,376.59,0.00,0.00,49.66,0.00,0.00,0.00,1894.61,309.86,1584.75
Maine,Other plant products,3.06,0.00,0.00,0.00,20.39,2.43,16.80,14.73,0.71,0.27,61.92,0.00,140.48,12.75,0.50,0.00,0.00,0.00,0.00,0.00,0.00,26.52,53.49,0.00,354.05,98.88,255.16
Maryland,Other plant products,12.19,108.76,96.71,0.00,28.60,55.36,0.00,0.00,19.63,1.07,70.39,0.00,250.49,10.08,2.30,0.00,32.08,156.58,0.00,0.00,20.65,0.00,0.00,52.38,917.27,233.40,683.87
Massachusetts,Other plant products,1.05,0.00,0.00,0.00,6.86,0.74,13.75,12.05,0.21,0.12,31.14,0.00,193.00,3.16,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.86,43.11,219.75
Michigan,Other plant products,82.66,3.66,396.00,0.00,382.22,232.90,76.37,66.95,78.95,12.30,56.04,0.00,941.65,75.57,141.85,0.00,153.24,747.95,0.00,0.00,98.62,101.02,203.76,160.47,4012.20,754.30,3257.91
Minnesota,Soybeans,239.01,22.33,1781.56,0.00,361.83,967.71,0.00,0.00,300.85,57.16,176.57,37.35,621.43,179.50,949.50,0.00,491.60,2399.37,0.00,0.00,320.28,68.66,138.49,283.48,9396.66,1985.89,7410.77
Mississippi,Soybeans,31.14,282.43,129.30,384.29,3.73,74.63,0.00,0.00,28.15,3.46,204.63,9.32,65.15,40.96,23.97,81.14,169.22,825.92,0.00,0.00,109.88,16.48,33.23,13.06,2530.09,590.32,1939.77
Missouri,Soybeans,321.83,99.31,747.36,275.72,33.95,419.13,0.00,0.00,137.14,37.00,74.83,0.00,189.50,131.02,279.55,115.20,353.62,1725.92,0.00,0.00,227.57,0.00,0.00,107.94,5276.59,977.49,4299.10
Montana,Wheat,226.21,0.00,7.51,0.00,7.85,93.07,0.00,0.00,72.70,19.40,58.24,48.83,157.93,8.11,31.26,0.00,0.00,0.00,0.00,0.00,5.10,33.26,67.08,681.14,1517.68,351.06,1166.62
Nebraska,Corn,1639.72,2.80,2341.11,0.00,47.74,1296.15,0.00,0.00,388.08,143.83,39.59,7.72,177.33,29.35,307.56,0.00,405.49,1979.12,0.00,0.00,261.77,32.01,64.58,153.11,9317.05,2210.58,7106.47
Nevada,Beef and veal,52.93,0.00,0.00,0.00,26.96,22.70,0.00,0.00,6.61,4.25,14.22,0.00,40.05,2.07,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.99,100.64,69.35
New Hampshire,Other plant products,1.23,0.00,0.00,0.00,7.76,0.53,0.00,0.00,0.15,0.11,5.41,0.00,51.00,7.59,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.04,22.35,51.69
New Jersey,Other plant products,1.62,0.00,16.24,0.00,2.92,10.44,28.64,25.11,3.35,0.14,26.68,0.00,549.85,9.14,0.23,0.00,5.55,27.08,0.00,0.00,3.57,14.03,28.30,4.65,757.52,40.72,716.80
New Mexico,Dairy products,154.05,0.00,9.42,35.50,229.78,19.86,0.00,0.00,6.58,12.36,27.20,7.98,109.02,8.05,0.16,0.00,0.00,0.00,0.00,209.99,0.83,27.54,55.55,11.99,925.86,431.60,494.27
New York,Other plant products,43.04,0.69,130.93,0.00,533.11,86.64,73.23,64.20,28.00,3.69,84.02,0.00,581.35,25.54,5.94,0.00,20.17,98.43,0.00,0.00,12.98,36.23,73.07,39.39,1940.65,696.04,1244.61
North Carolina,Pork,37.61,511.23,192.08,242.58,32.04,112.96,23.10,20.25,38.96,36.83,82.32,66.95,562.84,263.18,845.32,0.00,95.79,467.55,394.72,0.00,68.65,73.19,147.63,87.09,4402.88,1808.54,2594.34
North Dakota,Soybeans,165.91,0.00,339.76,0.00,11.61,216.20,0.00,0.00,135.43,14.10,63.45,714.56,201.55,3.24,19.87,0.00,242.42,1183.21,0.00,0.00,230.71,109.53,220.93,1077.69,4950.18,278.19,4671.99
Ohio,Soybeans,87.59,35.18,762.88,0.00,194.37,427.10,0.00,0.00,134.31,17.83,106.34,0.00,463.35,144.33,270.18,0.00,350.07,1708.62,0.00,0.00,225.29,2.30,4.64,148.63,5083.02,855.81,4227.20
Oklahoma,Beef and veal,492.40,88.73,52.71,236.05,25.13,67.09,0.00,0.00,47.29,55.03,46.72,10.94,129.24,19.46,388.41,0.00,15.95,77.85,0.00,19.50,11.41,0.00,0.00,410.13,2194.04,1115.89,1078.15
Oregon,Other plant products,121.26,6.79,20.79,0.00,99.55,57.45,95.80,83.99,29.97,9.75,55.39,0.00,1314.90,19.36,0.47,0.00,0.00,0.00,0.00,186.11,0.00,63.61,128.31,197.82,2491.32,312.56,2178.77
Pennsylvania,Other plant products,93.38,87.93,217.62,0.00,349.28,146.00,32.65,28.62,46.82,12.21,118.32,0.50,788.89,106.21,118.06,0.00,39.60,193.30,32.19,0.00,25.54,4.99,10.06,61.92,2514.11,885.40,1628.71
Rhode Island,Other plant products,0.08,0.00,0.00,0.00,0.35,0.10,0.00,0.00,0.03,0.01,7.55,0.00,26.31,1.39,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.93,9.49,26.44
South Carolina,Other plant products,19.84,120.18,66.78,121.71,5.71,38.76,25.93,22.73,12.73,2.16,39.36,50.44,283.08,21.85,14.32,0.00,18.31,89.37,19.12,0.00,17.06,0.00,0.00,20.02,1009.46,223.43,786.02
South Dakota,Soybeans,423.51,0.00,916.53,0.00,132.31,524.26,0.00,0.00,167.34,45.13,101.90,187.39,89.67,33.35,278.90,0.00,273.28,1333.84,0.00,0.00,195.46,0.40,0.80,213.21,4917.28,1015.10,3902.18
Tennessee,Soybeans,84.16,71.82,203.80,217.98,17.69,135.18,0.00,0.00,45.08,8.16,44.29,0.39,300.06,16.40,35.19,0.00,89.28,435.77,70.60,0.00,57.50,0.00,0.00,85.47,1918.84,277.71,1641.13
Texas,Cotton,1451.89,300.19,366.44,1969.59,516.49,390.11,25.48,22.34,141.11,120.63,302.87,108.95,686.67,104.13,104.25,114.96,4.23,20.67,0.00,76.95,14.11,44.42,89.59,291.19,7267.26,2900.45,4366.81
Utah,Other plant products,72.15,0.00,5.50,0.00,74.45,43.54,1.78,1.56,13.92,8.20,60.13,1.98,167.96,28.54,60.25,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,18.60,558.75,303.71,255.04
Vermont,Other plant products,8.85,0.00,0.00,0.00,90.12,2.28,0.00,0.00,0.67,0.72,7.14,0.00,113.09,3.72,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.90,110.85,116.04
Virginia,Other plant products,55.08,114.01,69.73,47.58,54.28,53.75,8.82,7.74,17.86,5.27,172.78,21.21,285.96,78.64,21.22,0.00,33.66,164.31,56.67,0.00,23.88,2.36,4.76,32.94,1332.49,501.28,831.21
Washington,"Fruits, fresh",356.53,11.17,23.76,0.00,219.80,67.94,726.91,637.25,54.03,14.31,181.83,32.19,704.22,41.27,0.76,0.00,0.00,0.00,0.00,0.00,3.36,176.76,356.53,511.56,3941.64,647.12,3294.52
West Virginia,Other plant products,25.44,16.37,6.54,0.00,2.41,9.61,0.00,0.00,2.80,2.05,34.76,0.00,57.77,27.53,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.54,108.82,76.72
Wisconsin,Dairy products,228.41,14.18,550.05,0.00,1077.61,309.51,35.75,31.34,93.73,20.49,88.80,0.00,342.58,32.54,54.30,0.00,129.61,632.58,0.00,0.00,83.41,90.57,182.68,51.03,4049.17,1516.33,2532.84
Wyoming,Beef and veal,145.41,0.00,9.06,0.00,7.50,43.47,0.00,0.00,13.44,13.01,68.54,0.00,66.11,4.89,33.75,0.00,0.00,0.00,0.00,0.00,0.00,2.40,4.83,11.63,424.05,273.10,150.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
